Track name,Artist name,Album,Playlist name,Type,ISRC
"Eric Prydz · Floyd - Proper Education (Radio Edit)","","","EDM hits","Playlist",""
"Armin van Buuren · Punctual · Alika - On & On (Extended Mix)","","","EDM hits","Playlist",""
"Vibe Chemistry - Balling (LÄUFF Remix)","","","EDM hits","Playlist",""
"Lane 8 · Kasablanca - Run (Kasablanca VIP)","","","EDM hits","Playlist",""
"Deorro · Chris Brown - Five More Hours","","","EDM hits","Playlist",""
"DVBBS · Borgeous - Tsunami (Radio Edit)","","","EDM hits","Playlist",""
"Shouse - Love Tonight (David Guetta Remix)","","","EDM hits","Playlist",""
"Avicii · Sandro Cavazza - Without You","","","EDM hits","Playlist",""
